country,year,kind,method,source_country,source_package,raw_coverage
AL,2015,load,nearest_country_proxy,MK,2019,0.0
AL,2015,wind,nearest_country_proxy,BG,19,0.0
AL,2015,solar,nearest_country_proxy,BG,19,0.0
AT,2015,load,direct,AT,2019,1.0
AT,2015,wind,direct,AT,19,1.0
AT,2015,solar,direct,AT,19,0.9992009132420091
BA,2015,load,direct,BA,2019,1.0
BA,2015,wind,nearest_country_proxy,SI,19,0.0
BA,2015,solar,nearest_country_proxy,SI,19,0.0
BE,2015,load,direct,BE,2019,1.0
BE,2015,wind,direct,BE,19,1.0
BE,2015,solar,direct,BE,19,1.0
BG,2015,load,direct,BG,2019,1.0
BG,2015,wind,direct,BG,19,1.0
BG,2015,solar,direct,BG,19,0.9992009132420091
CH,2015,load,direct,CH,2019,1.0
CH,2015,wind,direct,CH,20,0.9998858447488584
CH,2015,solar,direct,CH,20,0.9998858447488584
CZ,2015,load,direct,CZ,2019,1.0
CZ,2015,wind,direct,CZ,19,1.0
CZ,2015,solar,direct,CZ,19,1.0
DE,2015,load,direct,DE,2019,1.0
DE,2015,wind,direct,DE,19,1.0
DE,2015,solar,direct,DE,19,1.0
DK,2015,load,direct,DK,2019,1.0
DK,2015,wind,direct,DK,19,1.0
DK,2015,solar,direct,DK,19,0.9995433789954338
EE,2015,load,direct,EE,2019,0.9995433789954338
EE,2015,wind,direct,EE,19,0.9969178082191781
EE,2015,solar,direct,EE,19,0.9969178082191781
ES,2015,load,direct,ES,2019,1.0
ES,2015,wind,direct,ES,19,0.9993150684931507
ES,2015,solar,direct,ES,19,0.9993150684931507
FI,2015,load,direct,FI,2019,1.0
FI,2015,wind,direct,FI,19,0.9995433789954338
FI,2015,solar,nearest_country_proxy,EE,19,0.0
FR,2015,load,direct,FR,2019,1.0
FR,2015,wind,direct,FR,19,1.0
FR,2015,solar,direct,FR,19,1.0
GB,2015,load,direct,GB,2019,1.0
GB,2015,wind,direct,GB,19,1.0
GB,2015,solar,direct,GB,19,1.0
GR,2015,load,direct,GR,2019,1.0
GR,2015,wind,direct,GR,19,0.9994292237442922
GR,2015,solar,direct,GR,19,0.9994292237442922
HR,2015,load,direct,HR,2019,1.0
HR,2015,wind,nearest_country_proxy,SI,19,0.0
